"trait","nut_add","myc","estimate","z","p","lowerCL","upperCL","estimate_perc","lowerCL_perc","upperCL_perc","ci.range","ci.range_perc"
"marea","int","Mining",-0.454,2.386,0.017,-0.831,-0.077,-36.479,-56.424,-7.405,"[-0.831, -0.077]","[-56.424, -7.405]"
"marea","int","Scavenging",0.053,2.386,0.017,-0.124,0.231,5.492,-11.699,26.03,"[-0.124, 0.231]","[-11.699, 26.03]"
"nmass","int","Mining",0.341,-1.945,0.052,-0.013,0.695,40.604,-1.294,100.284,"[-0.013, 0.695]","[-1.294, 100.284]"
"nmass","int","Scavenging",-0.035,-1.945,0.052,-0.171,0.101,-3.476,-15.745,10.58,"[-0.171, 0.101]","[-15.745, 10.58]"
"narea","int","Mining",-0.187,0.648,0.517,-0.795,0.422,-17.018,-54.84,52.482,"[-0.795, 0.422]","[-54.84, 52.482]"
"narea","int","Scavenging",-0.019,0.648,0.517,-0.325,0.286,-1.925,-27.768,33.164,"[-0.325, 0.286]","[-27.768, 33.164]"
"pmass","int","Mining",-0.416,1.759,0.079,-0.768,-0.064,-34.049,-53.628,-6.202,"[-0.768, -0.064]","[-53.628, -6.202]"
"pmass","int","Scavenging",-0.074,1.759,0.079,-0.221,0.074,-7.097,-19.825,7.652,"[-0.221, 0.074]","[-19.825, 7.652]"
"parea","int","Mining",-0.583,2.511,0.012,-1.181,0.015,-44.204,-69.318,1.465,"[-1.181, 0.015]","[-69.318, 1.465]"
"parea","int","Scavenging",0.03,2.511,0.012,-0.315,0.375,3.021,-27.03,45.447,"[-0.315, 0.375]","[-27.03, 45.447]"
"leafnp","int","Mining",-0.932,1.655,0.098,-1.673,-0.191,-60.625,-81.232,-17.391,"[-1.673, -0.191]","[-81.232, -17.391]"
"leafnp","int","Scavenging",-0.467,1.655,0.098,-0.829,-0.104,-37.282,-56.349,-9.886,"[-0.829, -0.104]","[-56.349, -9.886]"
"asat","int","Mining",0.289,-0.313,0.754,-0.646,1.224,33.522,-47.574,240.059,"[-0.646, 1.224]","[-47.574, 240.059]"
"asat","int","Scavenging",0.172,-0.313,0.754,-0.296,0.64,18.799,-25.606,89.709,"[-0.296, 0.64]","[-25.606, 89.709]"
"vcmax","int","Mining",0.52,-2.082,0.037,-0.027,1.066,68.145,-2.636,190.384,"[-0.027, 1.066]","[-2.636, 190.384]"
"vcmax","int","Scavenging",0.023,-2.082,0.037,-0.379,0.425,2.337,-31.565,53.033,"[-0.379, 0.425]","[-31.565, 53.033]"
"jmax","int","Mining",0.505,-2.044,0.041,-0.096,1.106,65.695,-9.184,202.312,"[-0.096, 1.106]","[-9.184, 202.312]"
"jmax","int","Scavenging",0.005,-2.044,0.041,-0.443,0.453,0.49,-35.796,57.284,"[-0.443, 0.453]","[-35.796, 57.284]"
"pnue","int","Mining",0.35,-0.521,0.602,-1.018,1.719,41.97,-63.857,457.667,"[-1.018, 1.719]","[-63.857, 457.667]"
"pnue","int","Scavenging",0.099,-0.521,0.602,-0.641,0.84,10.442,-47.347,131.661,"[-0.641, 0.84]","[-47.347, 131.661]"
"ppue","int","Mining",-0.303,0.587,0.557,-1.261,0.656,-26.107,-71.673,92.755,"[-1.261, 0.656]","[-71.673, 92.755]"
"ppue","int","Scavenging",-0.082,0.587,0.557,-0.567,0.403,-7.86,-43.254,49.611,"[-0.567, 0.403]","[-43.254, 49.611]"
