"variable","spp","nut_add","mean","sd","se","n"
"leaf_np","Bischaemum","control",10.31,1.49,0.86,3
"leaf_np","Bischaemum","n",15.46,1.86,1.07,3
"leaf_np","Bischaemum","p",5.8,0.74,0.43,3
"leaf_np","Bischaemum","np",8.59,0.74,0.43,3
"leaf_np","Sbungeana","control",16.1,3.35,1.93,3
"leaf_np","Sbungeana","n",35.86,2.98,1.72,3
"leaf_np","Sbungeana","p",6.87,0.74,0.43,3
"leaf_np","Sbungeana","np",13.31,1.49,0.86,3
"leaf_np","Ldavurica","control",22.76,1.86,1.07,3
"leaf_np","Ldavurica","n",25.12,1.86,1.07,3
"leaf_np","Ldavurica","p",13.53,0.74,0.43,3
"leaf_np","Ldavurica","np",15.46,1.86,1.07,3
"leaf_n_area","Bischaemum","control",0.64,0.06,0.03,3
"leaf_n_area","Bischaemum","n",0.75,0.08,0.05,3
"leaf_n_area","Bischaemum","p",0.74,0.08,0.05,3
"leaf_n_area","Bischaemum","np",0.67,0.03,0.02,3
"leaf_n_area","Sbungeana","control",1.2,0.11,0.06,3
"leaf_n_area","Sbungeana","n",1.28,0.11,0.06,3
"leaf_n_area","Sbungeana","p",1.15,0.19,0.11,3
"leaf_n_area","Sbungeana","np",1.68,0.14,0.08,3
"leaf_n_area","Ldavurica","control",1.68,0.17,0.1,3
"leaf_n_area","Ldavurica","n",2.12,0.11,0.06,3
"leaf_n_area","Ldavurica","p",1.99,0.03,0.02,3
"leaf_n_area","Ldavurica","np",2.29,0.25,0.14,3
"leaf_p_area","Bischaemum","control",0.06,0.01,0.01,3
"leaf_p_area","Bischaemum","n",0.05,0.01,0.01,3
"leaf_p_area","Bischaemum","p",0.14,0.03,0.02,3
"leaf_p_area","Bischaemum","np",0.08,0.01,0.01,3
"leaf_p_area","Sbungeana","control",0.08,0.01,0.01,3
"leaf_p_area","Sbungeana","n",0.06,0,0,3
"leaf_p_area","Sbungeana","p",0.17,0.02,0.01,3
"leaf_p_area","Sbungeana","np",0.13,0.01,0,3
"leaf_p_area","Ldavurica","control",0.08,0,0,3
"leaf_p_area","Ldavurica","n",0.09,0.01,0,3
"leaf_p_area","Ldavurica","p",0.15,0,0,3
"leaf_p_area","Ldavurica","np",0.15,0.01,0,3
"pnue","Bischaemum","control",23.11,1.77,1.02,3
"pnue","Bischaemum","n",32.28,1.18,0.68,3
"pnue","Bischaemum","p",19.71,1.77,1.02,3
"pnue","Bischaemum","np",47.57,2.35,1.36,3
"pnue","Sbungeana","control",8.83,2.35,1.36,3
"pnue","Sbungeana","n",9.17,0.59,0.34,3
"pnue","Sbungeana","p",8.83,1.77,1.02,3
"pnue","Sbungeana","np",18.35,1.18,0.68,3
"pnue","Ldavurica","n",11.21,0.59,0.34,3
"pnue","Ldavurica","p",12.91,0.59,0.34,3
"pnue","Ldavurica","np",14.27,1.77,1.02,3
"pnue","Ldavurica",NA,9.51,0,0,3
"leaf_ppue","Bischaemum","control",233.92,45.58,26.32,3
"leaf_ppue","Bischaemum","n",500,60.77,35.09,3
"leaf_ppue","Bischaemum","p",108.19,25.32,14.62,3
"leaf_ppue","Bischaemum","np",406.43,30.39,17.54,3
"leaf_ppue","Sbungeana","control",119.88,25.32,14.62,3
"leaf_ppue","Sbungeana","n",271.93,15.19,8.77,3
"leaf_ppue","Sbungeana","p",49.71,15.19,8.77,3
"leaf_ppue","Sbungeana","np",204.68,30.39,17.54,3
"leaf_ppue","Ldavurica","control",178.36,10.13,5.85,3
"leaf_ppue","Ldavurica","n",236.84,15.19,8.77,3
"leaf_ppue","Ldavurica","p",143.27,15.19,8.77,3
"leaf_ppue","Ldavurica","np",190.06,5.06,2.92,3
"leaf_wue","Bischaemum","control",2.22,0.21,0.12,3
"leaf_wue","Bischaemum","n",2.61,0.72,0.41,3
"leaf_wue","Bischaemum","p",2.8,0.59,0.34,3
"leaf_wue","Bischaemum","np",2.73,0.17,0.1,3
"leaf_wue","Sbungeana","control",0.88,0.08,0.05,3
"leaf_wue","Sbungeana","n",1.2,0.13,0.07,3
"leaf_wue","Sbungeana","p",0.78,0.13,0.07,3
"leaf_wue","Sbungeana","np",1.78,0.17,0.1,3
"leaf_wue","Ldavurica","control",1.39,0.17,0.1,3
"leaf_wue","Ldavurica","n",1.68,0.25,0.15,3
"leaf_wue","Ldavurica","p",1.83,0.13,0.07,3
"leaf_wue","Ldavurica","np",2.05,0.42,0.24,3
